,title,description,date,link
117,"20 augusti 04:46, Skadegörelse, Uppsala",En bil med två sovande personer i utsattes för skadegörelse i Boländerna på en parkering.,"Thu, 20 Aug 2020 11:02:55 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0446-skadegorelse-uppsala/
118,"20 augusti 10:48, Arbetsplatsolycka, Piteå",Man skadad på en arbetsplats norr om Piteå.,"Thu, 20 Aug 2020 10:56:11 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1048-arbetsplatsolycka-pitea/
119,"20 augusti 03:35, Rattfylleri, Uppsala",En polispatrull stoppade och kontrollerade en personbil på Fålhagsleden. Föraren av bilen misstänks för grovt rattfylleri.,"Thu, 20 Aug 2020 10:55:02 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0335-rattfylleri-uppsala/
120,"20 augusti 08:15, Fylleri/LOB, Umeå","Hörnefors, person omhändertagen.","Thu, 20 Aug 2020 10:48:36 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0815-fyllerilob-umea/
121,"20 augusti 09:13, Stöld/inbrott, Sandviken",En byggarbetsplats i området Hedgrind utsattes under natten för inbrott i en container.,"Thu, 20 Aug 2020 10:46:19 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0913-stoldinbrott-sandviken/
122,"20 augusti 10:03, Rattfylleri, Torsby",En bilist är misstänkt för att ha kört bil i påverkat tillstånd i Kajsheden.,"Thu, 20 Aug 2020 10:44:22 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1003-rattfylleri-torsby/
123,"20 augusti 08:16, Arbetsplatsolycka, Ljusdal",En ung man har fått ett tungt föremål på sin fot på arbetsplatsen vid Gunderbergsvägen i Färila.,"Thu, 20 Aug 2020 10:42:27 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0816-arbetsplatsolycka-ljusdal/
124,"20 augusti 08:11, Stöld/inbrott, Gävle",Målsägaren kommer hem till sin bostad på Rudsjöstrand och konstaterar att han har haft inbrott.,"Thu, 20 Aug 2020 10:38:18 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0811-stoldinbrott-gavle/
125,"20 augusti 10:36, Olaga intrång, Värnamo",Man och kvinna misstänks ha tagit sig in olovligen i en kolonilott.,"Thu, 20 Aug 2020 10:37:57 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1036-olaga-intrang-varnamo/
126,"20 augusti 08:09, Stöld/inbrott, Sandviken",SAIK Golfklubb på Säljansvägen utsattes för ett inbrott under natten.,"Thu, 20 Aug 2020 10:32:47 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0809-stoldinbrott-sandviken/
127,"Uppdaterad 20 augusti 10:26: 20 augusti 09:53, Brand, Karlskoga",Det brinner från en lastbil på E18.,"Thu, 20 Aug 2020 10:26:22 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0953-brand-karlskoga/
128,"20 augusti 08:02, Stöld/inbrott, Gävle","En fastighet på Källrundan, Norrlandet, utsattes för ett inbrott under natten enligt målsägaren.","Thu, 20 Aug 2020 10:24:24 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0802-stoldinbrott-gavle/
129,"20 augusti 10:18, Mord/dråp, Haparanda","Misstänkt mord, Haparanda","Thu, 20 Aug 2020 10:19:39 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1018-morddrap-haparanda/
130,"20 augusti 06:01, Narkotikabrott, Gävle",Väktare kallas till en adress på Brynäs p.g.a. att det är bråk i en lägenhet.,"Thu, 20 Aug 2020 10:19:27 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0601-narkotikabrott-gavle/
131,"20 augusti 03:27, Misshandel, Söderhamn",En kvinna slog en anställd i en butik på Brädgårdsgatan i ansiktet och talade med ett ovårdat språk till henne.,"Thu, 20 Aug 2020 10:04:00 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0327-misshandel-soderhamn/
132,"20 augusti 09:55, Stöld, Karlstad",Två personer är misstänkta för ringa stöld i Bergvik.,"Thu, 20 Aug 2020 10:03:45 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0955-stold-karlstad/
